MHG,MAG,LMV,LMD,LWS,LUBS,LLS,LWLSS,AggregatedAttendance
0.100755668,0.040063467,-0.073907285,0.114795918,-0.302844988,-0.095472186,0.388403495,0.792820513,-0.651667672
0.100755668,0.386751289,-0.073907285,-0.163903061,-0.535229992,-0.66080207,0.041302621,0.075692308,-0.560421989
0.375944584,0.386751289,0.157615894,-0.442602041,0.394310024,0.695989651,0.041302621,0.075692308,-0.441589513
0.375944584,-0.306624355,0.157615894,0.114795918,1.091465036,0.01759379,0.041302621,0.43425641,-0.355781564
-0.449622166,0.040063467,-0.305430464,-0.163903061,-0.535229992,-0.547736093,0.388403495,-0.103589744,-0.329277216
-0.174433249,-0.653312178,-0.073907285,0.114795918,-0.535229992,-0.547736093,0.041302621,0.43425641,-0.346260571
0.375944584,0.040063467,0.157615894,0.114795918,-0.070459984,-0.208538163,-0.305798253,-0.282871795,-0.346464592
-0.724811083,0.040063467,-0.305430464,0.393494898,-0.070459984,-0.32160414,0.735504369,0.972102564,-0.252004157
-0.449622166,-1,-0.536953642,0.393494898,-0.535229992,-0.66080207,0.735504369,0.613538462,-0.312904509
-0.449622166,0.386751289,-0.073907285,0.114795918,-0.535229992,-0.095472186,0.041302621,0.254974359,-0.295391266
-0.724811083,0.040063467,-0.305430464,-0.163903061,-0.070459984,0.01759379,0.735504369,0.075692308,-0.345824192
-0.174433249,-0.653312178,-0.305430464,-0.163903061,-0.070459984,-0.208538163,0.041302621,-0.462153846,-0.407770152
0.651133501,0.386751289,0.389139073,-0.163903061,-0.302844988,-0.547736093,0.388403495,0.075692308,-0.210501412
-0.724811083,-0.306624355,-0.536953642,-0.163903061,-0.535229992,-0.547736093,0.388403495,0.792820513,-0.365856531
0.651133501,-0.306624355,0.389139073,0.114795918,0.394310024,0.356791721,0.041302621,0.075692308,-0.204515371
-0.449622166,-0.306624355,-0.536953642,0.393494898,-0.302844988,-0.208538163,0.388403495,0.792820513,-0.508291719
-0.449622166,-0.306624355,-0.073907285,0.672193878,-0.302844988,-0.32160414,0.388403495,0.613538462,-0.865627903
-0.449622166,-0.306624355,-0.536953642,0.114795918,-0.535229992,-0.547736093,0.388403495,0.792820513,-0.825060255
-0.449622166,-0.653312178,-0.305430464,-0.163903061,-0.302844988,-0.547736093,1.082605242,0.254974359,-0.732006717
0.100755668,0.386751289,-0.073907285,-0.163903061,-0.070459984,-0.32160414,-0.305798253,-0.103589744,-0.701040821
0.651133501,0.040063467,0.389139073,-0.442602041,-0.302844988,0.356791721,0.041302621,-0.103589744,-0.39956113
0.375944584,-0.653312178,0.157615894,-0.163903061,-0.302844988,-0.434670116,-0.305798253,0.254974359,-0.577136149
0.100755668,0.733439111,0.157615894,-0.442602041,-0.070459984,0.582923674,-0.305798253,-0.462153846,-0.462928155
-0.174433249,-0.653312178,-0.305430464,0.114795918,0.16192502,0.922121604,-0.305798253,-0.641435897,-0.423615805
-0.174433249,-0.306624355,-0.305430464,0.114795918,-0.302844988,0.243725744,-0.652899126,0.075692308,-0.478484777
0.100755668,-0.653312178,-0.073907285,0.114795918,-0.070459984,-0.208538163,-0.305798253,-0.462153846,-0.438349258
-1,-0.306624355,-0.305430464,0.114795918,-0.302844988,-0.434670116,0.388403495,-0.103589744,-0.463058502
-0.174433249,0.733439111,0.157615894,0.393494898,-0.302844988,-0.208538163,0.041302621,0.075692308,-0.36319292
0.100755668,0.040063467,-0.073907285,-0.163903061,-0.535229992,-0.547736093,-0.305798253,0.43425641,-0.316527303
-0.174433249,0.386751289,-0.073907285,0.393494898,0.394310024,-0.32160414,-0.305798253,-0.462153846,-0.417774279
-0.174433249,0.040063467,-0.305430464,0.114795918,-0.535229992,-0.095472186,0.041302621,0.075692308,-0.428057518
-0.724811083,0.386751289,-0.073907285,0.393494898,0.16192502,-0.434670116,0.735504369,0.792820513,-0.536891535
0.100755668,0.040063467,0.157615894,0.393494898,-0.070459984,0.243725744,-0.305798253,-0.103589744,-0.460671169
-0.724811083,-0.653312178,-0.305430464,0.672193878,-0.302844988,-0.095472186,1.77680699,2.047794872,-0.473286485
-0.174433249,0.040063467,-0.305430464,-0.163903061,-0.302844988,-0.208538163,0.041302621,0.075692308,-0.526184669
-0.724811083,-1,-0.536953642,-0.163903061,-0.302844988,-0.208538163,1.082605242,0.254974359,-0.463778244
-0.449622166,0.386751289,-0.073907285,-0.163903061,-0.302844988,-0.434670116,0.388403495,0.613538462,-0.477315905
0.375944584,0.386751289,0.157615894,-0.163903061,0.16192502,-0.095472186,-0.305798253,0.43425641,-0.470349429
-0.724811083,-0.306624355,-0.305430464,-0.163903061,0.16192502,-0.208538163,-0.305798253,0.075692308,-0.419396532
-0.724811083,-0.653312178,-0.536953642,0.393494898,-0.535229992,-0.547736093,0.388403495,0.972102564,-0.245516564
-0.724811083,-0.653312178,-0.305430464,0.950892857,-0.535229992,0.243725744,0.041302621,0.075692308,-0.168084822
0.100755668,0.733439111,0.157615894,-0.163903061,-0.302844988,-0.434670116,0.735504369,-0.103589744,-0.150524824
-0.174433249,-0.306624355,-0.305430464,0.393494898,-0.302844988,-0.095472186,0.388403495,-0.103589744,-0.005420358
-0.174433249,-1,-0.305430464,0.114795918,-0.302844988,0.01759379,0.041302621,0.254974359,-0.217854679
0.375944584,0.040063467,0.157615894,-0.163903061,-0.302844988,-0.547736093,0.041302621,-0.462153846,-0.205702662
-0.449622166,1.080126934,0.389139073,0.114795918,-0.070459984,-0.434670116,0.041302621,0.254974359,-0.146819854
-0.449622166,0.386751289,-0.073907285,0.114795918,-0.302844988,-0.434670116,0.388403495,-0.103589744,-0.372318622
0.100755668,-0.653312178,-0.073907285,0.672193878,-0.070459984,-0.547736093,0.735504369,1.151384615,-0.824969579
-0.174433249,-0.306624355,-0.305430464,0.114795918,-0.070459984,0.01759379,-0.305798253,1.151384615,-0.706715163
-0.174433249,0.040063467,0.389139073,0.114795918,-0.302844988,-0.32160414,0.388403495,0.254974359,-0.753818575
0.375944584,-0.306624355,0.157615894,0.114795918,-0.070459984,-0.32160414,0.041302621,0.254974359,-0.728811801
-0.174433249,-0.306624355,-0.305430464,-0.163903061,-0.302844988,-0.434670116,0.041302621,0.792820513,-0.779339654
0.375944584,-0.653312178,0.157615894,0.114795918,-0.302844988,-0.66080207,0.735504369,0.972102564,-0.786308964
-0.724811083,0.040063467,-0.305430464,-0.163903061,0.394310024,-0.32160414,0.388403495,-0.103589744,-0.808703133
-0.174433249,0.386751289,-0.073907285,-0.163903061,-0.302844988,-0.32160414,0.041302621,-0.103589744,-0.816664213
0.100755668,0.040063467,-0.073907285,0.393494898,0.394310024,-0.32160414,-0.305798253,-0.282871795,-0.801229437
0.100755668,0.040063467,-0.073907285,-0.442602041,-0.302844988,0.243725744,0.041302621,0.43425641,-0.74567756
0.375944584,-0.306624355,0.157615894,0.672193878,-0.535229992,-0.32160414,0.735504369,0.075692308,-0.779131382
0.100755668,-0.306624355,-0.073907285,0.114795918,0.859080032,0.809055627,0.735504369,0.075692308,-0.755851704
-0.174433249,-0.306624355,0.157615894,0.393494898,0.16192502,-0.434670116,-0.305798253,0.254974359,-0.648315489
-0.449622166,1.773502578,0.85218543,-0.442602041,0.626695028,0.469857697,-0.305798253,-0.282871795,-0.625975159
-1,0.040063467,-0.073907285,0.114795918,-0.302844988,-0.434670116,0.735504369,0.43425641,-0.682647736
0.375944584,0.040063467,0.157615894,0.114795918,-0.535229992,-0.66080207,0.388403495,0.43425641,-0.751417075
-0.174433249,0.386751289,-0.073907285,0.114795918,0.16192502,1.261319534,-0.305798253,-0.462153846,0.657908072
0.375944584,0.386751289,0.157615894,-0.442602041,0.859080032,1.600517464,0.388403495,-0.282871795,0.738009092
0.100755668,0.386751289,0.157615894,-0.163903061,1.32385004,1.261319534,-0.652899126,-0.103589744,0.559280786
0.926322418,-0.653312178,0.620662252,-0.442602041,0.626695028,1.035187581,-0.305798253,-0.282871795,0.632045541
0.926322418,0.386751289,0.620662252,-0.442602041,0.394310024,0.130659767,-0.305798253,-0.103589744,0.180078905
0.100755668,0.040063467,-0.073907285,-0.163903061,0.394310024,0.243725744,0.041302621,-0.282871795,0.943433016
0.926322418,0.386751289,0.620662252,0.114795918,1.788620048,1.374385511,-0.305798253,-0.282871795,1.115454123
0.651133501,0.040063467,0.389139073,-0.163903061,-0.070459984,1.035187581,-0.305798253,-0.641435897,1.736902935
0.100755668,0.733439111,0.157615894,-0.163903061,0.626695028,0.469857697,0.041302621,-0.103589744,0.947881813
0.651133501,0.040063467,0.389139073,-0.442602041,0.394310024,0.243725744,-0.305798253,-0.462153846,1.247671245
0.651133501,-0.306624355,0.389139073,0.672193878,0.394310024,0.01759379,-0.305798253,-0.641435897,1.437112086
0.100755668,-0.306624355,0.157615894,-0.442602041,0.16192502,0.243725744,-0.305798253,-0.282871795,1.207544227
-0.174433249,0.040063467,-0.073907285,0.672193878,0.626695028,0.356791721,-0.305798253,-0.282871795,1.484663212
0.100755668,0.040063467,0.157615894,-0.442602041,1.091465036,0.243725744,-0.305798253,-0.462153846,1.580189091
0.651133501,0.040063467,0.389139073,0.114795918,-0.070459984,0.01759379,0.041302621,-0.282871795,1.394468805
0.651133501,1.773502578,0.85218543,0.114795918,0.626695028,1.148253558,-0.305798253,-0.462153846,0.781862332
0.375944584,-0.306624355,0.157615894,0.114795918,1.091465036,0.356791721,-0.305798253,-0.282871795,1.668619563
0.651133501,0.386751289,0.389139073,-0.163903061,0.859080032,0.356791721,-0.305798253,-0.462153846,2.096099396
0.375944584,0.040063467,0.157615894,-0.163903061,0.859080032,-0.095472186,-0.305798253,-0.641435897,1.575849388
0.100755668,-0.306624355,-0.073907285,-0.163903061,0.626695028,0.582923674,-0.652899126,-0.641435897,1.647473608
0.375944584,0.040063467,0.157615894,-0.163903061,-0.070459984,0.922121604,-0.305798253,0.075692308,1.313506361
0.651133501,0.386751289,0.389139073,-0.163903061,0.394310024,0.582923674,-0.305798253,-0.462153846,1.4492301
0.651133501,0.386751289,0.389139073,-0.442602041,0.394310024,0.01759379,-0.652899126,-0.282871795,1.880567918
0.375944584,-0.306624355,0.157615894,-0.163903061,1.556235044,0.809055627,-0.305798253,-0.641435897,2.509583935
0.375944584,0.733439111,0.157615894,-0.163903061,0.859080032,0.243725744,-0.305798253,-0.641435897,1.591318168
0.651133501,0.040063467,0.389139073,0.114795918,0.626695028,1.713583441,-0.305798253,-0.641435897,1.721758605
0.651133501,0.733439111,0.389139073,0.393494898,1.091465036,0.922121604,-0.305798253,-0.462153846,1.598990218
0.100755668,-1,-0.073907285,-0.72130102,0.394310024,1.035187581,-0.305798253,-0.641435897,1.932572091
-0.449622166,0.733439111,0.157615894,-0.163903061,0.394310024,0.243725744,0.041302621,-0.462153846,1.76824712
0.926322418,-0.653312178,0.620662252,0.114795918,0.394310024,0.243725744,0.041302621,-0.462153846,1.311068024
0.100755668,0.386751289,-0.073907285,-0.163903061,-0.070459984,-0.095472186,0.388403495,0.254974359,2.019567331
-0.174433249,0.040063467,-0.073907285,0.114795918,1.091465036,0.695989651,0.041302621,-0.282871795,1.704583981
0.100755668,0.386751289,-0.073907285,0.114795918,-0.070459984,0.243725744,-0.305798253,-0.462153846,0.333942118
0.375944584,0.386751289,0.157615894,-0.442602041,-0.302844988,0.130659767,0.041302621,-0.282871795,0.279773052
0.375944584,0.733439111,0.157615894,-0.442602041,0.626695028,0.356791721,-0.305798253,-0.103589744,0.572238971
