"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,1,4,5,2,6,4,8,27000,13754,18001,270023
"2",2002,4,2,4,3,5,7,3,7,33203,7104,17823,338638
"3",2003,4,3,4,3,2,3,2,6,22143,14028,17232,310180
"4",2004,3,0,4,3,2,9,2,4,29164,16555,23378,420813
"5",2005,3,3,3,6,6,11,5,6,30000,18727,24571,442286
"6",2006,3,2,3,2,3,10,2,5,22497,18200,20348,40697
"7",2007,3,2,3,3,2,8,6,9,28124,11291,21586,237452
"8",2008,0,3,3,4,3,8,2,4,80056,12893,25646,564232
"9",2009,4,4,4,3,4,7,4,8,28631,17265,22660,430541
"10",2010,7,3,7,4,5,5,3,8,29002,17504,23568,424238
"11",2011,5,4,5,4,3,5,3,5,30000,6128,20036,380694
"12",2012,1,2,2,3,4,5,6,10,28131,8524,18021,342399
"13",2013,2,5,5,2,3,6,4,4,28831,8346,18125,308136
"14",2014,4,3,4,4,4,9,3,11,27194,8566,19885,417589
"15",2015,3,3,3,4,4,5,3,6,29068,9595,22501,450024
"16",2016,1,6,6,7,3,5,3,8,29054,17016,22905,389390
