"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,4,4,2,4,6,1,7,45000,20000,31300,594700
"2",2002,3,3,3,3,3,5,3,6,45000,14000,31592,600250
"3",2003,3,4,4,4,3,5,3,5,46000,20000,34766,660568
"4",2004,3,3,3,4,3,6,2,6,46000,29000,39696,595450
"5",2005,3,4,4,5,7,11,2,5,44000,28633,37426,187133
"6",2006,4,4,4,2,5,12,1,3,45000,20000,31450,314500
"7",2007,5,3,5,3,4,7,4,5,46000,20000,35812,358126
"8",2008,1,1,4,4,6,10,4,4,54000,15000,38520,963000
"9",2009,4,4,4,4,7,8,3,10,50000,20000,38477,846500
"10",2010,5,3,5,5,4,4,5,7,44000,20000,34346,893000
"11",2011,3,3,3,4,3,8,3,5,45000,5000,33825,676500
"12",2012,4,5,5,4,2,5,2,3,42000,19000,31961,671200
"13",2013,3,5,5,4,5,7,3,5,45500,5000,30719,890853
"14",2014,4,5,5,4,7,15,2,3,40355,6000,28869,837223
"15",2015,5,1,5,4,5,13,2,4,41286,14666,33852,1015566
"16",2016,8,4,8,3,5,7,3,4,40835,10930,33908,712082
