"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,1,5,2,4,19,2,4,53500,24380,45151,857880
"2",2002,4,2,4,3,3,8,2,5,53500,25000,44557,1158500
"3",2003,4,5,5,1,8,14,1,2,53000,15000,41813,961700
"4",2004,2,4,4,4,4,7,3,8,52000,4000,38250,612000
"5",2006,4,2,4,3,5,8,3,3,48000,31000,39500,79000
"6",2007,3,4,4,6,7,7,3,7,55000,20000,40692,529000
"7",2008,2,3,4,4,7,11,2,7,55000,7000,33880,847000
"8",2009,3,2,3,3,4,15,1,4,55000,18000,38230,994000
"9",2010,5,4,5,4,4,9,3,3,55000,28000,42019,840395
"10",2011,7,3,7,4,4,5,3,4,50000,20000,40141,1083830
"11",2012,4,4,4,5,4,5,2,4,55000,3000,36175,868200
"12",2013,4,1,5,3,4,7,4,4,48000,15000,32506,845174
"13",2014,0,4,4,3,4,10,2,3,51200,16000,40801,897622
"14",2015,6,4,6,7,4,5,3,4,47217,10000,33003,924109
"15",2016,3,2,3,4,2,3,4,5,46804,22041,34348,549580
