"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,6,4,6,4,5,12,1,3,34657,13112,31801,795040
"2",2002,3,3,3,5,2,3,2,5,35131,21820,33673,707136
"3",2003,4,1,5,3,2,5,2,14,47304,29067,44297,1063147
"4",2004,6,1,6,2,2,7,2,6,47221,19578,42854,899941
"5",2005,3,3,3,2,3,4,3,7,47192,27779,41096,945222
"6",2006,2,2,2,4,3,6,3,6,47244,25621,38669,812063
"7",2007,2,0,2,7,4,6,3,4,47321,20938,40350,887711
"8",2008,6,3,6,3,4,4,3,6,47331,7334,37186,1041214
"9",2009,4,5,5,3,7,12,1,4,47370,24507,43571,1045706
"10",2010,5,3,5,3,4,8,3,3,88643,23542,43965,1362922
"11",2011,4,5,5,2,9,9,2,3,77169,25070,46026,1288738
"12",2012,5,1,5,2,6,8,2,4,86254,28015,47286,1276742
"13",2013,7,4,7,2,7,20,2,2,84697,25519,46594,1397820
"14",2014,7,3,7,3,9,13,2,3,49653,32346,44806,1254569
"15",2015,5,7,7,4,5,8,3,3,99382,38246,53162,1541714
"16",2016,2,5,5,4,10,11,1,6,54512,30270,51319,1026386
