"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,0,3,3,5,2,2,3,7,48335,29133,45863,917269
"2",2002,2,7,7,4,2,4,13,18,47586,14550,36885,811478
"3",2003,1,4,4,4,5,13,2,8,56112,13516,28648,830802
"4",2004,4,4,4,3,8,8,1,2,47350,11450,27674,691860
"5",2005,3,2,3,3,1,4,9,20,47366,11969,32856,722838
"6",2006,4,5,5,3,5,16,5,5,44448,24242,31887,733406
"7",2007,2,2,2,6,3,3,4,8,47802,20821,42218,844361
"8",2008,4,3,4,5,2,3,4,7,47936,18555,36789,846154
"9",2009,3,3,4,5,2,4,3,7,47641,20576,38190,840180
"10",2010,2,3,3,5,2,4,4,9,47864,13532,36965,813230
"11",2011,4,3,4,4,3,5,2,9,47751,26042,38421,845270
"12",2012,3,2,3,5,2,7,3,9,47456,17505,38329,843255
"13",2013,2,3,4,4,4,5,5,9,46313,15966,35181,949899
"14",2014,2,3,3,8,2,4,2,8,47563,17353,40481,890601
"15",2015,3,2,3,4,2,5,5,7,47653,14360,40683,854355
"16",2016,3,4,4,4,2,2,4,7,46494,13979,38525,654939
