"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,6,6,4,4,16,2,3,44371,30015,41446,1201943
"2",2002,5,6,6,4,6,8,2,5,74500,23576,41985,1259576
"3",2003,4,1,4,2,3,6,2,3,44374,33185,41777,1086222
"4",2004,3,5,5,2,3,6,3,3,78000,28176,42685,1109811
"5",2005,4,7,7,3,5,16,2,6,80000,42175,46767,1169182
"6",2006,1,4,4,3,5,8,2,3,44403,40058,43321,996396
"7",2007,8,2,8,3,7,11,2,3,44459,41446,43134,1164634
"8",2008,5,4,5,2,5,16,1,1,44424,28591,42697,1152838
"9",2009,5,4,5,2,6,6,4,4,44392,31063,42020,1008480
"10",2010,5,3,5,3,4,8,3,6,44923,22577,40223,1086047
"11",2011,5,2,5,4,3,11,3,3,87231,40106,45961,1149039
"12",2012,5,6,6,3,4,8,2,5,45009,37521,43678,1135648
"13",2013,4,3,5,2,9,9,2,3,44822,42231,44527,935083
"14",2014,3,3,3,5,4,8,4,4,44736,41857,44270,1195316
"15",2015,3,5,6,3,4,12,2,5,86206,34429,44390,1464870
"16",2016,5,5,5,4,5,15,3,5,89845,51232,54613,1146890
