Conference,team,season,tpcmp,tpatt,tpyds,tpint,tptds,tpqbrat,trcary,tryds,trlong,trtds,tcrecs,tcyds,tclong,tctds,tps,tpa,wlrall,wlrconf
SEC,UGA,2004,201,363,2972,5,24,143.2,463,1882,46,16,201,2972,79,24,335,198,4.761904762,2.857142857
SEC,UGA,2005,201,363,2977,7,27,144.9,455,2108,52,16,201,2977,56,26,384,213,3.225806452,2.857142857
SEC,UGA,2006,184,342,2397,16,12,114.9,426,1656,41,21,184,2397,53,12,327,229,2.195121951,0.975609756
SEC,UGA,2007,199,365,2579,10,20,126.5,509,2305,80,32,199,2579,84,20,424,262,5.238095238,2.857142857
SEC,UGA,2008,246,400,3610,10,27,154.6,426,1928,68,21,246,3610,78,27,409,319,3.225806452,2.857142857
SEC,UGA,2009,190,346,2615,17,24,131.5,447,2093,80,17,190,2615,65,24,376,337,1.568627451,0.975609756
SEC,UGA,2010,218,359,3151,8,25,153,455,1854,58,21,218,3151,66,25,417,287,0.845070423,0.588235294
SEC,UGA,2011,257,434,3423,14,37,147.1,582,2296,80,15,257,3423,80,37,448,288,2.43902439,6.363636364
SEC,UGA,2012,254,399,3991,11,37,172.8,525,2556,75,32,254,3991,87,37,529,275,5.714285714,6.363636364
SEC,UGA,2013,293,459,4085,12,31,155.7,486,2209,75,26,293,4085,98,31,477,377,1.568627451,1.612903226
SEC,UGA,2014,217,322,2599,6,24,156.1,555,3352,83,38,217,2599,50,24,537,269,3.225806452,2.857142857
SEC,UGA,2015,199,327,2406,8,14,131.9,486,2498,83,22,199,2406,48,14,342,220,3.225806452,1.612903226
SEC,UGA,2016,212,386,2515,9,16,118.7,533,2486,55,18,212,2515,77,16,319,312,1.568627451,0.975609756
