"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,1,4,6,4,4,5,12,8147,2556,4941,123538
"2",2002,3,2,3,4,4,9,2,12,32148,2724,6468,207003
"3",2003,3,3,6,4,3,6,4,7,8909,5837,6950,173757
"4",2004,5,2,5,4,4,6,3,7,9058,5390,7089,191407
"5",2005,3,2,3,3,3,5,3,10,9359,2657,6229,155744
"6",2006,5,1,5,4,3,3,5,11,8001,3764,5800,150825
"7",2007,1,3,3,3,6,6,4,5,9632,2206,5193,135019
"8",2008,3,4,4,3,3,6,3,5,9008,2220,4621,129400
"9",2009,4,3,4,5,6,6,2,4,9055,2655,5611,140294
"10",2010,4,3,4,2,3,11,3,8,10008,3140,6903,179503
"11",2011,5,2,5,6,2,6,5,6,8034,2489,5567,155891
"12",2012,4,2,4,4,8,16,5,6,9135,4951,6892,172322
"13",2013,3,2,5,5,5,5,2,7,11475,7258,9928,248222
"14",2014,2,8,8,2,7,13,2,4,11347,5250,10153,263990
"15",2015,0,3,4,4,3,5,5,8,11404,10863,11199,223990
"16",2016,5,3,5,4,2,3,4,8,11369,7595,10965,175452
