"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,1,5,4,2,4,5,5,39948,21128,33292,732445
"2",2002,0,3,3,3,3,9,3,7,40168,32240,38480,731134
"3",2003,4,0,4,4,2,4,4,9,40228,19807,36539,840399
"4",2004,4,2,4,7,3,7,2,6,40552,32406,36619,805618
"5",2005,3,2,3,4,3,9,4,7,40158,21843,35052,841261
"6",2006,4,3,4,3,2,7,3,4,40004,24426,35484,780660
"7",2007,6,2,6,3,5,13,2,5,40049,31885,36633,952478
"8",2008,4,1,4,3,4,8,3,7,39574,28312,35423,814744
"9",2009,4,4,4,5,5,11,3,7,39652,18242,34276,891189
"10",2010,4,4,4,3,2,6,1,5,39673,28376,35090,771991
"11",2011,4,0,4,3,3,9,3,3,39517,17173,31515,819409
"12",2012,5,4,5,3,3,7,1,4,39613,24124,35574,782643
"13",2013,4,4,4,4,6,10,2,3,39576,22730,36017,828413
"14",2014,3,3,3,3,2,8,4,5,39621,22236,37597,751947
"15",2015,4,2,4,4,3,6,2,7,86064,30918,39370,944882
"16",2016,3,3,4,5,5,8,2,5,39595,24617,37750,679504
