"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,3,4,3,3,7,1,3,41725,33504,39030,741579
"2",2002,5,3,5,2,4,10,2,3,41911,35237,39784,755896
"3",2003,5,5,5,2,5,7,1,4,41932,40491,41234,783451
"4",2004,4,4,4,1,4,32,1,1,42328,40864,41870,795534
"5",2005,5,4,4,3,6,17,2,2,42321,40652,41901,796131
"6",2006,4,4,4,2,9,13,1,1,41953,38000,41541,789294
"7",2007,6,4,6,2,5,24,1,3,41837,39447,41397,786549
"8",2008,5,5,5,3,5,8,1,2,43417,40280,41588,790172
"9",2009,8,5,8,2,6,10,1,1,41836,40137,41422,787029
"10",2010,6,6,6,3,5,10,2,6,41829,40734,41435,787271
"11",2011,6,5,5,3,3,6,2,4,41830,40651,41478,788089
"12",2012,8,4,8,2,4,8,1,7,41794,38484,41462,787786
"13",2013,6,4,6,2,5,14,1,2,41623,41111,41481,788153
"14",2014,4,6,5,3,4,15,1,2,41629,41098,41546,789376
"15",2015,5,4,4,3,3,15,3,3,41642,40945,41500,788506
"16",2016,5,3,5,3,13,13,2,3,41622,41168,41507,788645
