"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,2,3,3,4,11,2,6,55000,21000,39411,748825
"2",2002,2,2,3,4,3,6,3,6,52500,10000,32976,692500
"3",2003,1,4,4,2,4,7,3,8,45000,17000,32750,589500
"4",2004,4,0,4,3,3,11,2,4,50000,24000,35307,459000
"5",2005,3,1,3,5,3,4,4,8,40000,15851,24617,73851
"6",2006,3,1,3,5,2,6,3,13,34000,34000,34000,34000
"7",2007,4,1,4,3,3,5,3,5,50000,18000,39625,317000
"8",2008,3,2,3,5,4,7,4,6,55000,10000,37949,796935
"9",2010,5,2,5,5,4,7,5,5,35000,35000,35000,35000
"10",2011,1,1,2,4,3,6,6,10,50000,35000,41131,781500
"11",2012,4,2,4,4,3,3,2,7,52000,23806,36568,694796
"12",2013,6,2,6,5,2,4,6,6,48500,10000,28932,723322
"13",2014,4,2,4,3,5,12,2,4,48462,9500,30140,663096
"14",2015,2,0,3,5,2,6,5,12,46061,21036,35455,744568
"15",2016,0,1,2,5,1,3,2,6,41263,18774,32087,545480
