"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,6,2,6,4,3,3,3,8,31000,18000,24361,462860
"2",2002,5,2,5,3,4,19,1,3,31500,21600,26787,482170
"3",2003,3,3,3,4,5,5,3,13,29316,20000,26031,572690
"4",2004,1,4,4,4,2,6,5,5,26000,15500,21196,233166
"5",2010,3,4,4,5,2,2,5,7,32000,15000,25289,480500
"6",2011,4,1,4,5,2,6,3,7,32076,17000,24866,472470
"7",2012,4,3,4,4,2,15,2,5,32000,15000,23316,443018
"8",2013,5,2,5,4,4,4,2,8,32076,10492,24817,595626
"9",2014,2,2,3,4,3,4,2,8,28748,2500,20027,420584
"10",2015,3,5,5,4,4,4,2,5,27484,12755,20047,400956
"11",2016,3,2,3,4,4,6,2,4,28461,10927,21304,383488
