"League"	"LID"	"CID"	"Club"	"Season"	"MostHomeGoals"	"MostAwayGoals"	"LargestMarginofVictory"	"LargestMarginofDefeat"	"LongestWinningStreak"	"LongestUnbeatenStreak"	"LongestLosingStreak"	"LongestWinlessStreak"	"LargestAttendance"	"LowestAttendance"	"AverageAttendance"	"AggregatedAttendance"
"54"	"La_Liga"	15	1068	"Atletico_Madrid"	2009	4	4	4	3	3	4	3	5	57000	15000	37789	718000
"55"	"La_Liga"	15	1068	"Atletico_Madrid"	2010	4	4	4	3	2	5	4	4	55000	30000	44684	849000
"56"	"La_Liga"	15	1068	"Atletico_Madrid"	2011	4	4	4	5	3	6	2	5	54000	25000	45236	859500
"57"	"La_Liga"	15	1068	"Atletico_Madrid"	2012	6	4	6	3	8	9	1	2	54000	33000	46631	886000
"58"	"La_Liga"	15	1068	"Atletico_Madrid"	2013	7	4	7	3	9	13	1	1	54600	30000	45914	872382
"59"	"La_Liga"	15	1068	"Atletico_Madrid"	2014	4	4	4	2	4	11	1	3	54069	37000	46829	889755
"60"	"La_Liga"	15	1068	"Atletico_Madrid"	2015	5	3	4	1	6	9	1	2	53079	29737	43471	825962
"61"	"La_Liga"	15	1068	"Atletico_Madrid"	2016	7	5	6	3	5	9	2	2	53741	30323	44674	848824
"62"	"La_Liga"	15	97	"Osasuna"	2000	3	3	2	2	2	2	4	10	NA	NA	NA	NA
"63"	"La_Liga"	15	97	"Osasuna"	2001	4	2	4	4	3	7	3	9	19500	15000	16805	302500
"64"	"La_Liga"	15	97	"Osasuna"	2002	4	3	2	4	3	6	3	8	19000	13000	15714	298572
"65"	"La_Liga"	15	97	"Osasuna"	2003	3	3	3	2	2	8	6	6	19500	13000	15290	259930
"66"	"La_Liga"	15	97	"Osasuna"	2004	4	3	3	5	3	5	3	12	16000	13500	14888	134000
"67"	"La_Liga"	15	97	"Osasuna"	2005	3	4	2	4	3	9	3	4	NA	NA	NA	NA
"68"	"La_Liga"	15	97	"Osasuna"	2006	5	5	5	3	5	5	3	7	NA	NA	NA	NA
"69"	"La_Liga"	15	97	"Osasuna"	2007	4	3	3	3	1	3	4	4	40000	15000	20728	145100
"70"	"La_Liga"	15	97	"Osasuna"	2008	5	4	3	3	3	5	4	11	35000	15000	19286	366452
"71"	"La_Liga"	15	97	"Osasuna"	2009	3	2	3	3	4	4	3	7	28000	15000	18010	342200
"72"	"La_Liga"	15	97	"Osasuna"	2010	4	4	4	3	3	4	4	8	22000	11500	17000	323000
"73"	"La_Liga"	15	97	"Osasuna"	2011	3	4	3	8	2	6	2	5	21000	15000	17183	326493
"74"	"La_Liga"	15	97	"Osasuna"	2012	4	3	4	4	2	4	3	5	21000	12873	16524	313961
"75"	"La_Liga"	15	97	"Osasuna"	2013	3	2	3	7	2	4	5	5	19398	9000	14994	284887
"76"	"La_Liga"	15	97	"Osasuna"	2016	3	3	1	6	2	2	6	21	17770	11332	14797	281157
"77"	"La_Liga"	15	17534	"Leganes"	2016	4	2	4	4	NA	NA	NA	NA	10958	8392	9627	182920
"78"	"La_Liga"	15	243	"Sevilla"	2001	4	4	4	2	4	6	1	7	45000	20000	31300	594700
"79"	"La_Liga"	15	243	"Sevilla"	2002	3	3	3	3	3	5	3	6	45000	14000	31592	600250
"80"	"La_Liga"	15	243	"Sevilla"	2003	5	4	4	4	3	5	3	5	46000	20000	34766	660568
"81"	"La_Liga"	15	243	"Sevilla"	2004	3	3	3	4	3	6	2	5	46000	32500	40131	441450
"82"	"La_Liga"	15	243	"Sevilla"	2005	4	4	4	5	5	8	2	4	NA	NA	NA	NA
"83"	"La_Liga"	15	243	"Sevilla"	2006	4	4	4	2	3	7	2	3	NA	NA	NA	NA
"84"	"La_Liga"	15	243	"Sevilla"	2007	5	4	5	3	4	5	4	4	42000	20000	33000	231000
"85"	"La_Liga"	15	243	"Sevilla"	2008	4	4	4	4	4	7	4	4	54000	35000	41157	782000
"86"	"La_Liga"	15	243	"Sevilla"	2009	4	5	4	4	5	7	4	6	50000	20000	39026	741500
"87"	"La_Liga"	15	243	"Sevilla"	2010	4	4	3	5	2	3	5	5	44000	25000	36000	684000
"88"	"La_Liga"	15	243	"Sevilla"	2011	5	3	3	4	3	7	3	8	45000	28000	35342	671500
"89"	"La_Liga"	15	243	"Sevilla"	2012	5	3	4	4	2	5	2	5	42000	19000	31536	599200
"90"	"La_Liga"	15	243	"Sevilla"	2013	4	3	4	4	6	7	3	5	40150	25800	31538	599233
