"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,1,4,4,3,2,4,3,6,33000,7000,16117,274000
"2",2002,1,1,2,3,4,8,3,3,35000,9000,18941,322000
"3",2003,1,3,3,3,4,5,2,5,25000,12000,16444,296000
"4",2004,4,4,4,2,4,10,3,4,23000,13000,18850,377000
"5",2005,1,1,3,4,5,9,4,8,30000,8000,16328,163280
"6",2006,4,4,4,5,2,6,3,6,20000,13000,16300,81500
"7",2007,3,2,3,5,3,8,3,4,16500,2000,12200,122000
"8",2008,4,3,4,4,5,9,4,8,30000,4000,17379,451862
"9",2009,2,1,3,3,2,5,3,3,25000,4000,14787,295750
"10",2010,4,7,7,4,5,15,4,4,33000,8000,16230,292145
"11",2011,3,3,3,4,4,10,2,3,35000,9500,17417,383187
"12",2012,3,3,3,4,8,9,2,7,30000,6300,16313,358886
"13",2013,2,2,4,3,3,3,2,4,30000,2000,12623,227214
"14",2014,4,1,4,3,3,4,4,5,11241,7889,8936,169784
"15",2015,2,1,2,4,3,4,4,8,25467,2000,15499,309984
"16",2016,3,2,3,4,3,3,3,5,25952,13239,17611,264172
