"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,4,4,3,3,8,3,3,60683,52000,59159,1124037
"2",2002,4,3,4,3,2,7,2,6,60886,50830,59282,1185642
"3",2003,3,2,3,3,2,12,3,4,63000,50000,60093,1081677
"4",2004,4,4,4,3,4,10,3,3,61524,50000,59256,1185129
"5",2005,3,0,3,3,6,10,1,10,61524,52151,59153,946449
"6",2006,4,8,8,3,6,12,2,3,61482,45878,53680,107360
"7",2007,5,9,9,4,4,11,3,4,61482,53951,59701,537312
"8",2008,4,3,4,4,4,7,3,5,61673,48919,59601,1251637
"9",2009,3,4,4,2,4,9,2,2,61673,60150,61282,1103082
"10",2010,4,3,5,5,5,5,6,7,61673,49191,59905,1258023
"11",2011,5,10,10,3,5,7,3,3,61673,52000,59226,1421437
"12",2012,1,5,5,4,5,8,3,7,61673,50000,59063,1358465
"13",2013,3,1,4,5,4,7,2,4,68000,51078,60815,1398755
"14",2014,1,4,4,5,3,5,2,6,61973,47997,59697,1253646
"15",2015,4,5,5,3,6,6,2,7,62271,42447,58469,1286330
"16",2016,4,5,5,3,5,12,3,5,62271,42210,57504,1092587
