"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,0,4,5,3,3,2,10,34500,25000,29773,476371
"2",2002,3,1,3,4,2,7,3,7,34500,23200,29079,494350
"3",2003,3,2,3,3,2,3,4,12,34500,28400,32276,548700
"4",2004,2,1,2,6,1,4,3,4,53466,24771,47295,804016
"5",2005,3,2,3,3,3,5,2,7,54019,35000,46832,749324
"6",2006,2,3,3,3,2,3,5,12,52000,52000,52000,52000
"7",2008,3,7,7,5,2,3,5,6,54067,36454,47527,807959
"8",2009,2,0,2,5,2,5,6,6,54067,34297,46159,830864
"9",2010,4,3,4,7,3,5,6,9,54057,34517,45088,856686
"10",2011,5,2,5,2,4,8,2,3,54057,43224,52078,989490
"11",2012,0,2,3,5,2,9,2,7,54010,40165,48928,1076428
"12",2013,3,2,3,2,6,6,3,9,54010,46089,52238,888062
"13",2014,7,3,7,2,4,18,2,4,54010,37091,50659,861218
"14",2015,4,4,5,5,3,12,6,6,54010,40511,50946,1069876
"15",2016,5,2,5,4,4,5,2,8,54014,40452,49198,934767
