"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,6,4,6,4,4,5,3,5,36100,20347,33623,840577
"2",2002,1,1,3,4,3,6,3,7,36084,23723,35288,705772
"3",2003,3,2,3,4,4,6,4,9,36137,25307,34018,782419
"4",2004,4,6,6,3,4,12,2,4,36105,27860,35533,817279
"5",2005,1,1,2,2,3,9,2,5,36247,35427,36073,685399
"6",2006,4,5,5,4,5,11,3,4,36170,27641,35180,1055421
"7",2007,5,0,5,3,3,6,3,6,87660,29758,37103,1075989
"8",2008,4,0,4,3,4,7,3,5,36183,28906,34974,909345
"9",2009,8,4,8,3,6,9,2,4,84602,31436,37560,939016
"10",2010,3,1,3,4,4,11,2,6,36197,32702,35554,853304
"11",2011,5,5,5,4,3,11,3,4,85731,24058,36620,988756
"12",2012,2,4,4,3,4,10,3,3,36244,25030,34740,903256
"13",2013,4,5,5,6,4,6,3,3,36102,29000,34928,943057
"14",2014,4,1,4,3,6,6,2,5,36130,24300,34557,898488
"15",2015,3,4,4,4,7,9,2,4,36084,26463,35209,950667
"16",2016,5,4,6,2,7,11,2,6,85512,26244,39540,948967
