"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,6,6,3,3,8,2,3,100000,37500,66439,1528102
"2",2002,5,4,5,3,4,11,3,5,98000,42866,66458,1727909
"3",2003,8,2,8,4,9,11,2,4,96000,25321,66764,1535586
"4",2004,3,4,4,3,5,10,1,2,98000,50000,70946,922298
"5",2006,5,6,6,4,5,13,2,2,53000,20000,34666,104000
"6",2007,6,2,6,3,6,17,2,5,98000,57000,73727,811002
"7",2008,5,5,6,1,11,20,2,4,97000,19000,70638,2119148
"8",2009,5,5,5,2,8,15,1,2,98772,17000,75557,1813391
"9",2010,4,8,8,2,10,28,1,2,98000,45000,78165,2110455
"10",2011,9,7,9,3,9,22,2,2,99252,18048,79998,2079958
"11",2012,5,1,5,4,7,14,2,3,99000,56055,76722,1994797
"12",2013,7,3,7,2,8,20,3,3,98761,20000,74140,1927655
"13",2014,7,8,8,2,11,18,2,2,98760,30000,74708,2166548
"14",2015,7,8,8,4,10,38,3,3,98902,54907,75356,2336039
"15",2016,7,6,7,4,5,11,1,1,98485,42879,75006,1800157
