"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,1,3,3,3,4,2,7,18000,2000,8166,122500
"2",2002,6,4,6,2,3,14,2,5,17045,2500,6024,108445
"3",2003,5,1,5,3,4,14,1,4,60000,4000,12934,297500
"4",2004,6,5,6,3,3,12,2,7,17906,5000,11729,246310
"5",2005,3,2,3,2,2,7,2,7,18000,4271,11389,205019
"6",2006,3,4,4,2,3,9,2,4,4048,4048,4048,4048
"7",2007,2,3,3,6,4,5,4,10,17368,5000,9893,79150
"8",2008,2,1,3,3,2,4,4,5,14442,5000,8258,156917
"9",2009,4,2,4,4,5,9,3,5,13000,3000,7397,155351
"10",2010,2,4,4,3,2,7,2,6,17046,3000,7343,132185
"11",2011,1,1,2,4,5,10,2,11,4500,4073,4286,8573
"12",2012,4,4,4,3,5,16,2,2,8058,4089,5089,30537
"13",2013,6,3,6,2,5,11,2,2,16384,1,8593,128895
"14",2014,3,2,3,3,4,12,2,3,17263,5488,8951,214843
"15",2015,8,2,8,5,4,8,2,2,16124,5388,7646,168218
"16",2016,7,7,7,4,7,11,1,2,16049,4319,9377,196917
