"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,2,2,2,4,3,9,2,8,40000,1700,19169,345050
"2",2002,3,0,3,4,2,5,4,9,30233,10000,16116,306222
"3",2003,2,3,3,3,3,3,3,11,22000,11000,15448,262629
"4",2004,8,2,8,3,4,10,2,3,18000,8080,12453,298874
"5",2005,4,0,4,2,3,9,2,3,20000,8000,13064,169839
"6",2006,4,3,4,3,2,7,4,7,9560,9560,9560,9560
"7",2007,5,3,5,3,3,10,2,8,79000,12000,26671,186700
"8",2008,1,3,3,2,5,11,3,4,78000,11900,17331,329299
"9",2009,2,4,4,3,6,9,2,2,18000,10000,14798,355155
"10",2010,3,3,5,2,5,12,2,3,25000,11000,16152,403820
"11",2011,0,6,6,2,5,11,2,3,17437,15000,16775,251630
"12",2012,5,3,5,5,3,6,2,6,50000,12000,39795,915298
"13",2013,3,3,3,2,3,6,2,3,48960,5500,36153,723072
"14",2014,3,3,3,5,3,4,2,13,45771,20000,35689,749482
"15",2015,4,2,4,3,6,6,2,5,39601,26431,30268,575097
"16",2016,2,1,3,3,3,6,4,5,40485,8265,28177,450841
