"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,1,4,4,3,9,5,6,61168,3915,27239,680984
"2",2002,4,3,4,3,4,8,3,7,34814,27443,31025,589480
"3",2003,2,3,3,4,3,6,2,7,34738,10435,28278,650401
"4",2004,4,4,4,3,4,9,3,7,34836,11833,29950,748772
"5",2005,3,3,3,7,4,6,3,9,39148,9436,25720,823055
"6",2006,4,2,4,4,3,5,3,6,33308,11148,26910,645843
"7",2007,7,1,7,3,2,7,5,10,33952,11686,26370,580140
"8",2008,4,1,4,5,2,4,4,8,33767,15602,27114,596529
"9",2009,2,4,4,5,3,8,3,4,27721,12474,19636,471281
"10",2010,2,4,4,3,4,5,4,7,23550,13712,16312,375182
"11",2011,2,3,3,3,5,9,2,8,27794,12631,17726,443164
"12",2012,2,3,3,4,6,9,4,7,28229,12579,16899,439382
"13",2013,3,3,4,2,4,5,2,7,23679,6774,15305,367334
"14",2014,4,4,4,3,6,10,1,3,85656,10727,22291,579582
"15",2015,3,2,3,3,7,7,2,3,33806,13368,24219,629701
"16",2016,3,6,6,3,3,5,4,7,32704,23661,29839,537113
