"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,1,4,4,3,6,8,3,5,36500,22000,29967,509445
"2",2002,8,3,8,3,3,8,5,7,40200,16300,31184,592510
"3",2003,6,4,6,4,4,30,2,2,53500,23000,37075,630282
"4",2004,4,6,6,5,4,6,3,3,43000,37000,39878,757688
"5",2005,4,4,6,3,3,9,3,4,42500,30339,38697,541767
"6",2006,3,6,6,3,6,12,3,4,37500,35000,35944,143778
"7",2007,7,1,7,4,4,8,2,3,42100,25690,36847,368473
"8",2008,1,6,6,4,3,6,3,6,42100,30116,38871,932920
"9",2009,3,6,6,4,5,22,4,4,72954,20963,33634,941760
"10",2010,2,4,4,6,2,8,4,7,42000,32000,37716,678897
"11",2011,2,2,3,5,3,5,4,9,42100,39124,40851,694473
"12",2012,4,3,4,5,2,3,3,13,42100,37231,40640,690895
"13",2013,0,0,2,7,2,4,3,5,42100,37270,40656,691162
"14",2014,4,1,4,6,5,5,3,9,42100,38900,40905,695396
"15",2015,4,1,4,6,2,3,5,5,42100,38416,40886,735948
"16",2016,3,3,3,6,3,7,6,7,42100,37108,40698,569774
