"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",2294,2004,239,385,2881,14,20,134.8,428,871,47,10,239,2881,60,20,292,211,4.76190476190476,6.36363636363636
"2",2294,2005,245,404,3093,8,23,139.8,436,2096,71,19,245,3093,78,23,360,240,1.37254901960784,1.61290322580645
"3",2294,2006,248,423,3118,19,21,127.9,432,1865,44,16,248,3118,64,21,310,269,0.845070422535211,0.327868852459016
"4",2294,2007,199,376,2281,7,17,115.1,438,1515,30,11,199,2281,53,17,222,225,0.983606557377049,0.975609756097561
"5",2294,2008,187,320,2362,11,16,130.1,515,2453,75,30,187,2362,59,16,394,169,2.19512195121951,1.61290322580645
"6",2294,2009,213,392,2887,20,19,122,454,1485,43,13,213,2887,92,19,301,200,5.23809523809524,2.85714285714286
"7",2294,2010,226,357,3049,6,26,155.7,449,1929,75,16,226,3049,70,26,376,221,1.56862745098039,0.975609756097561
"8",2294,2011,240,412,3052,8,25,136.6,454,1790,50,18,240,3052,88,25,358,310,1.14754098360656,0.975609756097561
"9",2294,2012,223,389,2249,8,7,107.7,404,1476,44,15,223,2249,51,7,232,275,0.493827160493827,0.327868852459016
"10",2294,2013,213,375,2562,15,19,122.9,557,2339,43,18,213,2562,85,19,342,246,1.56862745098039,1.61290322580645
"11",2294,2014,265,437,3081,7,21,132.5,514,2120,60,22,265,3081,72,21,367,333,1.14754098360656,0.975609756097561
"12",2294,2015,227,369,2862,5,17,139.2,568,2544,75,35,227,2862,85,17,433,285,5.71428571428571,80
"13",2294,2016,175,310,1991,10,17,122,502,2234,75,23,175,1991,77,17,324,245,1.56862745098039,1.93548387096774
