"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,7,1,7,3,7,11,2,4,77000,40000,65489,1768206
"2",2002,6,4,6,4,8,12,1,5,78000,50000,67223,1815040
"3",2003,5,2,5,3,5,10,5,5,90000,25000,65869,1515000
"4",2004,5,3,5,3,7,10,2,3,80000,45000,64625,1034008
"5",2006,4,3,4,3,6,8,2,3,67820,67820,67820,67820
"6",2007,7,5,7,2,5,9,3,3,80300,45000,71030,710300
"7",2008,6,3,6,4,9,9,5,5,85000,45000,72391,1665000
"8",2009,6,3,6,4,7,9,1,3,83000,50000,71417,1428354
"9",2010,8,3,8,5,6,19,2,2,80000,50000,70314,1898489
"10",2011,6,6,6,2,15,20,1,2,83493,32600,73022,1898579
"11",2012,4,4,5,3,7,12,2,3,85454,29152,66508,2128267
"12",2013,4,5,5,2,10,32,2,3,85454,55000,70761,1981328
"13",2014,8,6,8,4,22,22,2,3,109318,31000,70637,2189754
"14",2015,8,6,8,4,6,15,2,2,80746,60663,69478,1875931
"15",2016,5,6,6,2,8,30,2,3,105826,47656,69397,1596139
