"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,2,2,3,4,2,5,3,6,58000,33000,47139,659954
"2",2002,2,2,2,3,3,4,1,3,60000,7000,49396,938537
"3",2003,5,1,5,3,3,8,2,5,60000,15500,50020,1250503
"4",2004,3,1,3,2,3,4,2,8,68100,5000,51030,969578
"5",2005,6,1,6,3,3,7,2,5,58000,14777,42854,857089
"6",2006,5,3,5,3,5,14,5,6,58000,7000,34669,173346
"7",2007,5,0,5,4,5,7,2,5,58000,24327,46271,508983
"8",2008,4,0,4,3,5,9,2,6,62000,22616,48754,1267628
"9",2009,5,0,5,3,8,10,3,4,79000,15000,47175,1085027
"10",2010,4,7,7,2,5,8,2,4,80000,20000,52619,1157622
"11",2011,4,5,5,2,8,16,7,12,41279,12899,35134,702691
"12",2012,4,1,4,3,5,11,3,4,39773,7500,28886,693276
"13",2013,1,2,3,3,3,8,5,7,44995,7000,34480,724081
"14",2014,4,5,5,2,8,8,4,4,65148,41413,53018,1007351
"15",2015,6,2,6,3,3,8,3,7,61166,9107,37680,866654
"16",2016,4,3,4,4,3,7,2,3,65252,25121,36688,587016
