"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,2,5,3,4,8,4,4,22080,13970,18120,416777
"2",2002,7,1,7,4,3,12,2,6,26054,4901,16045,465319
"3",2003,3,4,4,5,5,8,3,5,72523,4904,19366,484154
"4",2004,3,1,3,4,3,3,5,11,26193,4233,23114,462294
"5",2005,3,3,3,3,6,7,2,5,23843,5341,17884,518661
"6",2006,2,2,3,2,3,6,4,8,21523,4481,16309,407726
"7",2007,5,3,5,2,4,12,3,6,23950,13048,16315,391575
"8",2008,2,1,3,4,3,8,4,6,22824,3094,14367,359187
"9",2009,3,2,3,4,3,6,3,6,20643,3140,14383,388362
"10",2010,3,1,3,5,2,4,3,6,20142,12353,15351,353075
"11",2011,4,2,4,3,4,11,3,9,22147,5448,14501,406052
"12",2012,5,1,5,4,5,14,4,6,82025,12757,19863,516462
"13",2013,2,3,3,3,5,5,7,7,25564,20050,24114,458169
"14",2014,2,4,4,3,4,6,4,6,25197,13773,23722,498168
"15",2015,4,4,4,4,3,4,3,3,88619,10978,28351,680428
"16",2016,3,1,3,4,4,4,6,8,25643,7149,22339,379776
