"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,2,3,2,5,11,2,3,80000,5000,48157,1059454
"2",2002,4,3,4,3,4,7,2,2,76854,31448,58104,1510725
"3",2003,6,3,6,4,4,6,2,7,75831,10000,49344,1134913
"4",2004,5,4,5,2,4,32,1,3,78471,30000,53232,1224357
"5",2005,5,4,5,2,5,17,2,2,79000,38000,52497,682467
"6",2006,1,3,4,4,10,41,1,3,45194,6040,28752,258768
"7",2007,3,3,4,2,11,30,1,4,80000,3000,52571,525712
"8",2008,2,4,4,3,4,11,1,3,84000,26520,51556,1237355
"9",2009,2,5,5,2,5,16,1,2,84638,4000,47954,1150899
"10",2010,3,3,4,3,7,8,2,5,78000,18100,50422,1260562
"11",2011,5,1,5,4,8,8,5,8,75000,15000,48170,915242
"12",2012,3,3,3,3,10,10,3,5,79341,9000,38201,955033
"13",2013,4,7,7,4,3,8,2,6,60336,38815,47229,425067
"14",2014,7,3,7,3,3,10,3,6,74022,24589,36630,732606
"15",2015,4,4,4,3,5,7,3,3,79154,17102,43413,911685
"16",2016,6,4,6,5,9,9,3,4,76484,6449,37085,704616
