"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,3,5,4,6,15,2,4,52000,21000,23608,590200
"2",2002,3,2,3,4,2,4,4,9,43000,22000,23565,542000
"3",2003,6,4,6,2,3,12,3,7,32500,20500,23192,371086
"4",2004,5,2,5,3,3,7,2,4,22500,20000,22357,469500
"5",2005,4,4,4,3,6,6,2,4,22500,22500,22500,315000
"6",2006,3,2,3,3,4,5,4,5,22500,19500,21714,152000
"7",2007,4,5,5,3,5,7,4,4,22500,15267,20924,313869
"8",2008,3,3,5,3,4,6,2,2,74244,19500,29683,534294
"9",2009,4,5,5,3,4,16,3,5,30231,26000,29220,496748
"10",2010,4,10,10,4,4,10,1,3,30210,13000,25453,585435
"11",2011,3,3,3,6,3,6,5,5,30210,23368,28459,597644
"12",2012,5,4,5,3,5,12,2,4,36000,10000,26588,558361
"13",2013,2,5,5,5,4,8,5,9,30210,25198,28152,619345
"14",2014,4,6,6,3,5,7,2,3,30210,23081,28666,687988
"15",2015,5,6,6,3,6,8,3,4,30210,23409,28332,651648
"16",2016,2,1,3,4,3,4,3,6,30210,21928,27567,496213
