"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,4,5,4,2,5,2,7,20400,10612,14669,234706
"2",2002,2,0,2,2,2,5,2,5,30000,11612,19418,330117
"3",2003,4,1,4,4,3,3,4,6,30000,13821,23047,391803
"4",2004,5,1,5,4,5,5,4,4,30000,16378,23687,402684
"5",2005,2,2,2,5,2,3,4,10,30000,13996,22067,375145
"6",2006,1,2,2,2,4,5,3,7,30000,14200,22100,44200
"7",2007,4,4,4,2,3,7,3,5,30000,18000,24677,222100
"8",2008,4,7,7,3,6,8,1,1,30300,12500,24784,520476
"9",2009,2,3,4,4,4,8,3,12,30000,15412,27469,549383
"10",2010,3,2,3,3,3,3,4,8,30000,10801,27903,502255
"11",2011,3,3,3,4,4,5,3,3,30000,23057,27614,469446
"12",2012,2,5,5,5,2,2,4,7,30000,7538,24805,471311
"13",2013,4,2,4,5,4,9,2,3,30000,6718,25838,490938
"14",2014,4,1,4,3,8,15,2,5,30000,7608,25879,517595
"15",2015,6,3,6,4,3,8,4,5,30000,20126,27992,671825
"16",2016,1,3,3,5,3,3,3,7,30000,23148,27668,359688
