"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,2,4,3,4,7,2,4,42559,20000,34463,620350
"2",2002,5,4,5,3,3,13,3,3,49300,25000,34523,759517
"3",2003,5,2,5,3,4,9,2,3,40125,30333,36216,796759
"4",2004,5,1,5,NA,4,19,2,4,40000,20000,36682,807009
"5",2005,7,4,7,4,7,30,1,3,44410,29168,36676,513468
"6",2006,3,3,4,2,14,17,2,4,80000,26357,44452,133357
"7",2007,5,4,5,3,7,9,2,3,70000,25000,38547,424026
"8",2008,3,2,3,3,4,10,4,6,43000,30000,36700,844120
"9",2009,4,4,4,3,7,12,2,6,41000,30000,36154,795405
"10",2010,5,3,5,4,4,8,2,2,45000,26000,34493,689860
"11",2011,0,6,6,4,5,9,3,4,78000,15000,35163,773607
"12",2012,3,1,4,3,4,6,3,5,42000,25186,32517,715379
"13",2013,4,5,5,4,6,12,4,4,39717,20000,31694,887433
"14",2014,4,5,5,3,5,9,3,3,39961,24636,34949,664036
"15",2015,5,7,7,6,3,10,3,5,56696,25658,39094,860083
"16",2016,6,6,6,3,4,7,3,3,57050,17002,39195,823106
