"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,1,3,3,2,3,3,8,23000,7000,16376,278400
"2",2002,6,0,6,5,2,3,2,4,23000,10000,16755,301600
"3",2003,3,1,3,3,2,8,3,6,23000,9000,15798,394964
"4",2004,4,2,4,2,5,12,2,7,22000,8000,16191,275250
"5",2005,4,1,4,2,3,13,3,6,22000,22000,22000,22000
"6",2006,1,3,3,4,8,8,4,5,12500,8000,10250,20500
"7",2007,3,1,3,5,6,8,2,5,22500,10000,18384,239000
"8",2008,3,3,3,5,5,10,4,5,26000,10000,19757,474168
"9",2009,5,2,5,4,3,5,4,7,24000,5000,14900,372523
"10",2010,5,1,5,5,5,8,2,4,25000,12000,19196,537500
"11",2011,3,1,3,5,2,5,4,10,24235,11000,18612,428089
"12",2013,4,3,4,2,3,6,2,4,25500,13000,17759,355199
"13",2014,4,3,4,4,7,18,3,10,23600,6000,16438,476714
"14",2015,4,2,4,3,5,9,3,3,23450,9000,16468,461127
"15",2016,5,3,5,4,3,11,2,6,22110,12157,17410,383035
