"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,1,2,2,5,2,11,3,6,40000,28000,33722,607000
"2",2002,3,4,4,4,2,11,3,4,42000,20000,34823,592000
"3",2003,4,2,4,3,3,7,2,4,41000,25000,32941,560000
"4",2004,4,6,6,2,4,12,3,5,39000,30000,33812,541000
"5",2007,4,3,4,3,3,6,2,8,40000,5000,33166,298500
"6",2008,3,0,3,4,3,9,4,5,55000,15000,35608,819000
"7",2009,3,3,3,4,4,7,3,6,40000,24500,33720,843000
"8",2010,3,1,3,4,4,6,4,4,45000,26000,36275,725500
"9",2011,4,2,4,3,3,15,3,6,54850,25000,37356,1083350
"10",2012,6,0,6,4,2,5,3,5,40000,29200,36029,864700
"11",2013,5,4,5,2,3,5,2,4,47000,20000,31158,654330
"12",2014,4,2,4,5,5,7,3,9,99354,18000,40390,1171334
"13",2015,6,2,6,6,5,7,2,4,53000,19871,40148,1164313
"14",2016,2,1,3,3,4,5,2,3,49164,29633,40014,880316
