"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,4,4,4,4,11,2,3,41725,20812,36211,941508
"2",2002,5,4,5,2,3,10,3,4,41911,15772,37636,903275
"3",2003,5,5,5,2,7,12,2,5,41932,23408,39632,1109700
"4",2004,4,3,4,1,8,18,2,3,42328,33945,41231,1072006
"5",2005,4,3,4,3,7,22,2,3,64575,39301,43306,1125958
"6",2006,5,3,5,2,6,22,1,2,89826,38000,44806,1254579
"7",2007,6,4,6,2,9,15,1,4,80731,37721,42409,1187464
"8",2008,5,5,5,3,6,14,1,3,89391,38079,42900,1201221
"9",2009,8,5,8,2,8,13,2,2,88335,37781,44509,1201747
"10",2010,7,6,7,3,6,7,2,5,84623,36454,42821,1070541
"11",2011,5,4,5,3,4,11,2,5,89102,36870,42157,1264723
"12",2012,8,4,8,3,6,10,3,6,85621,14312,41042,1477520
"13",2013,6,4,6,2,7,11,2,4,43000,38000,41096,1068498
"14",2014,6,3,6,3,6,22,1,2,89294,37692,42960,1202896
"15",2015,4,4,4,3,3,12,2,7,41642,37591,41298,1073772
"16",2016,5,2,5,3,10,13,1,2,41622,39276,41304,743480
