"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,0,4,6,3,6,2,5,35546,24517,31355,627102
"2",2002,1,1,2,6,2,5,3,10,35550,21919,33606,705740
"3",2003,5,3,5,3,3,5,1,8,35021,13715,30485,762134
"4",2004,5,1,5,3,3,7,3,3,70275,11111,27763,805128
"5",2005,4,2,4,3,4,9,3,6,34970,23700,32833,689494
"6",2006,2,3,3,6,4,4,6,12,34977,31168,34360,755927
"7",2007,3,5,5,4,3,5,3,5,34980,25774,33899,745780
"8",2008,3,3,3,3,3,7,4,6,40842,10055,32858,722889
"9",2009,2,0,3,4,2,3,6,7,34989,24492,32858,690024
"10",2010,4,2,4,5,3,4,5,10,34941,20902,32076,801922
"11",2011,6,4,6,4,5,12,2,2,35000,19879,30631,765798
"12",2012,3,1,3,4,2,5,2,6,35005,18053,33481,736586
"13",2013,1,3,3,6,4,5,4,6,35153,14390,32099,706182
"14",2014,2,2,3,4,3,6,3,8,34977,25301,34132,716783
"15",2015,3,4,4,3,4,9,2,5,34977,33048,34705,867648
"16",2016,3,3,3,5,3,4,4,6,56996,39877,55409,1108198
