"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,6,2,6,4,6,9,1,5,55000,20000,34020,544325
"2",2002,6,3,6,3,3,5,3,5,59000,10483,35337,706758
"3",2003,4,1,4,4,2,4,3,12,60800,23142,39808,636935
"4",2004,6,2,6,1,3,11,2,6,74500,31000,48363,822182
"5",2005,2,0,3,4,2,8,3,15,74000,13430,40371,726681
"6",2006,4,4,4,5,3,11,5,8,25000,8504,15434,46304
"7",2007,2,3,3,3,3,6,3,6,60000,30000,44798,403187
"8",2008,7,2,7,4,4,7,3,3,74244,13045,49550,991014
"9",2009,2,4,4,4,2,3,5,12,75420,13134,39227,863008
"10",2010,4,4,5,2,4,10,3,3,77116,28973,45761,777947
"11",2011,3,4,4,6,2,4,7,7,74244,36997,53254,1065080
"12",2012,2,5,5,2,4,21,2,3,74244,23404,40020,680353
"13",2013,5,1,5,4,3,4,4,8,76197,37438,51889,882120
"14",2014,1,2,3,5,2,5,3,7,76197,34636,50184,853140
"15",2015,3,4,4,5,4,8,5,7,76233,35196,51177,921201
"16",2016,3,0,3,3,3,5,2,2,74667,18454,47793,669103
