"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",150,2004,180,315,1876,11,2,102.3,385,1055,83,5,174,1809,47,10,183,322,0.21978021978022,0.140845070422535
"2",150,2005,134,284,1331,17,5,80.4,435,1398,81,16,134,1331,66,5,177,408,0.099009900990099,0
"3",150,2006,189,358,2222,17,12,106.5,412,1179,52,10,189,2222,54,12,179,406,0,0
"4",150,2007,210,383,2485,10,21,122.2,376,768,62,6,210,2485,76,21,215,398,0.0900900900900901,0
"5",150,2008,248,410,2372,12,17,116.9,419,1274,54,9,248,2372,52,17,241,281,0.493827160493827,0.140845070422535
"6",150,2009,308,501,3660,10,24,134.7,339,762,26,6,308,3660,74,24,302,340,0.704225352112676,0.588235294117647
"7",150,2010,295,489,3256,19,14,117.9,383,1320,63,19,295,3256,70,14,303,425,0.32967032967033,0.140845070422535
"8",150,2011,315,493,3266,12,14,124,365,1129,47,19,315,3266,70,14,270,374,0.32967032967033,0.140845070422535
"9",150,2012,352,551,3691,12,27,132,439,1628,58,18,352,3691,99,27,410,468,0.845070422535211,0.588235294117647
"10",150,2013,298,472,3474,19,26,135.1,544,2492,56,28,298,3474,75,26,459,373,2.4390243902439,2.85714285714286
"11",150,2014,268,471,2814,8,23,119.8,492,2364,69,24,268,2814,54,23,421,283,2.19512195121951,1.61290322580645
"12",150,2015,294,509,3204,10,18,118.4,524,2508,85,25,294,3204,89,18,410,330,1.56862745098039,0.975609756097561
"13",150,2016,277,443,2877,9,18,126.4,474,1843,57,19,277,2877,64,18,280,338,0.493827160493827,0.140845070422535
