"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,1,1,2,6,2,4,7,13,21886,14466,19412,407653
"2",2002,4,2,4,5,5,17,2,3,32082,22978,29090,698174
"3",2003,4,0,4,5,2,4,5,12,32148,18916,30250,635265
"4",2004,1,1,3,2,3,8,2,7,30231,6751,23224,557398
"5",2005,2,3,3,3,3,4,4,8,25578,7386,21501,559029
"6",2006,2,2,3,3,3,6,4,10,30457,6298,22416,582821
"7",2007,3,3,4,3,1,4,3,6,31892,19264,23508,540700
"8",2008,4,4,4,2,6,13,1,4,30542,7386,18307,512610
"9",2009,4,0,4,4,5,8,4,5,31759,12307,23686,592151
"10",2010,4,1,4,5,5,5,2,4,31200,6142,23023,598618
"11",2011,4,3,4,3,3,9,2,3,27720,16210,22639,565999
"12",2012,6,4,6,2,5,8,3,7,29560,8560,21272,574351
"13",2013,2,3,3,3,5,16,2,4,31424,14043,24457,611448
"14",2014,2,1,4,2,4,4,6,13,32021,8017,30161,633394
"15",2015,2,3,4,3,5,13,1,2,32242,21268,31412,659667
"16",2016,2,3,3,5,6,6,4,5,85437,29899,34077,783778
