"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,0,5,3,4,11,1,2,47756,19200,39738,675562
"2",2002,5,3,5,2,5,9,3,4,45000,15000,36214,796708
"3",2003,5,1,5,3,5,20,2,3,44162,34175,40098,721778
"4",2004,3,0,3,3,2,5,3,8,45000,29445,37755,792858
"5",2005,3,2,3,3,3,10,2,8,43555,35118,40984,532796
"6",2006,2,3,4,2,4,7,3,7,43000,7000,28857,202000
"7",2007,4,3,4,3,4,5,2,3,45200,20000,32284,290558
"8",2008,4,2,4,4,4,6,2,3,45000,4200,35266,952206
"9",2009,5,3,5,4,3,5,3,3,44788,13000,33169,597047
"10",2010,4,3,4,2,3,11,3,5,80000,5000,25863,698322
"11",2011,5,4,5,3,4,18,3,4,46252,23000,39823,716820
"12",2012,3,4,4,1,6,15,1,2,48000,20000,42612,1150540
"13",2013,5,5,5,2,11,20,2,2,48500,35000,44634,1071222
"14",2014,5,2,6,2,9,22,2,2,48000,40000,45537,1183982
"15",2015,6,9,9,2,16,24,1,1,47844,44408,46193,1108649
"16",2016,7,6,7,5,6,16,1,1,47929,10120,43463,956188
