"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,1,1,2,4,2,6,2,5,30000,7000,16941,288000
"2",2002,4,1,4,4,3,7,4,6,35000,9000,20487,450728
"3",2003,4,1,4,5,3,5,6,6,23000,8000,19388,349000
"4",2004,3,5,5,4,4,5,5,8,32000,18000,23461,305000
"5",2006,3,2,4,3,2,5,2,8,4500,4500,4500,4500
"6",2007,3,1,3,2,6,10,2,3,10228,10228,10228,10228
"7",2008,2,4,4,6,4,5,3,4,31000,12000,22905,435213
"8",2009,3,3,3,4,2,9,4,10,27000,8000,20473,389000
"9",2010,3,2,3,7,5,6,3,7,32000,15000,24078,457500
"10",2011,4,2,4,4,3,6,3,7,30000,18000,26210,498000
"11",2012,4,1,4,4,3,10,2,4,35000,20000,26806,670170
"12",2013,5,0,5,5,2,5,3,4,30377,12532,22694,431195
"13",2014,4,0,4,3,5,5,2,8,29025,10000,21199,466385
"14",2015,3,0,3,3,3,3,3,5,28290,10000,20549,410992
"15",2016,4,0,4,3,1,3,5,10,26912,12996,20746,311193
