"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",2117,2004,209,375,2482,10,16,120.1,448,1869,27,12,143,1875,89,15,260,378,0.563380281690141,0.588235294117647
"2",2117,2005,259,426,2861,6,16,126.8,434,1746,80,15,259,2861,74,16,260,260,1.17647058823529,1.61290322580645
"3",2117,2006,280,447,3443,11,28,143.1,422,1811,96,21,280,3443,88,28,416,312,2.4390243902439,7.27272727272727
"4",2117,2007,361,557,3738,14,29,133.3,519,2520,76,36,357,3715,76,28,487,517,1.31147540983607,5.45454545454545
"5",2117,2008,317,480,3767,8,28,147.9,484,1738,38,19,317,3767,93,28,384,393,1.56862745098039,2.85714285714286
"6",2117,2009,329,479,3577,9,28,146.9,515,2347,80,29,329,3577,82,28,475,265,5.71428571428571,80
"7",2117,2010,288,477,3408,18,17,124.6,383,1269,61,18,288,3408,70,17,293,312,0.32967032967033,0.327868852459016
"8",2117,2011,258,458,3290,18,25,126.8,333,1389,77,7,258,3290,79,25,271,400,0.32967032967033,0.327868852459016
"9",2117,2012,244,413,3170,9,23,137.6,415,1952,72,22,244,3170,92,23,375,421,1.14754098360656,0.975609756097561
"10",2117,2013,192,346,2500,17,15,120.7,410,1593,86,16,192,2500,97,15,279,343,0.983606557377049,1.61290322580645
"11",2117,2014,243,382,3157,13,27,149.5,504,2018,51,19,243,3157,65,27,350,327,1.14754098360656,1.61290322580645
"12",2117,2015,326,495,3905,11,25,144.3,420,1307,45,16,326,3905,83,25,336,286,1.14754098360656,2.85714285714286
"13",2117,2016,280,471,3589,16,23,132.8,407,1507,69,18,280,3589,85,23,342,394,0.845070422535211,0.588235294117647
