"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,0,4,4,5,2,3,3,6,31973,26794,30632,582019
"2",2002,5,0,5,5,4,9,2,4,32104,16603,29656,711747
"3",2003,1,3,3,4,3,6,3,5,32151,28456,31386,659123
"4",2004,1,3,3,4,2,8,3,8,32066,20588,29884,687336
"5",2005,1,3,3,3,4,5,4,11,30173,15908,23292,559023
"6",2006,3,6,6,2,4,8,3,4,32008,18736,23722,593053
"7",2007,4,3,4,5,2,5,4,6,31957,17741,21375,534383
"8",2008,2,2,3,3,3,3,4,9,31901,11331,18150,453768
"9",2009,4,4,5,3,5,10,2,4,31385,9319,20139,644464
"10",2010,4,6,6,3,6,8,4,4,31653,8333,20511,615356
"11",2011,3,3,4,3,5,10,2,5,32363,6541,24234,630098
"12",2012,3,3,3,5,3,4,4,6,32070,9890,29728,624305
"13",2013,3,4,4,3,4,8,3,6,31659,8539,28259,621706
"14",2014,8,2,8,3,6,8,5,6,31723,27598,30710,644916
"15",2015,4,6,6,5,4,8,3,6,31688,28399,30815,677935
"16",2016,3,4,4,5,4,7,3,4,31891,13517,28496,598419
