"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,2,2,4,6,3,6,4,9,5501,2347,3647,94841
"2",2002,2,2,2,4,2,4,4,10,9585,3370,5144,123474
"3",2003,2,1,3,3,3,4,6,7,10200,2055,6755,189152
"4",2004,4,4,4,3,4,6,2,5,11469,3559,8115,211008
"5",2005,6,3,6,2,3,12,3,5,55419,5321,14613,423795
"6",2006,5,1,5,3,3,5,2,7,18903,5892,12435,298461
"7",2007,4,5,5,2,4,14,2,3,19010,5721,11845,379070
"8",2008,3,1,3,4,5,17,2,2,18053,5366,14529,406817
"9",2009,3,2,3,4,3,11,1,6,18794,6400,14723,368090
"10",2010,4,1,4,4,4,7,2,3,19816,6281,14682,396418
"11",2011,0,2,3,4,3,5,4,5,20605,18985,19946,378978
"12",2012,3,5,5,5,3,7,3,6,20650,9025,19541,449464
"13",2013,4,3,4,3,2,4,2,8,20769,12500,19296,482401
"14",2014,3,4,4,5,6,6,2,3,20828,20145,20547,410940
"15",2015,3,3,3,4,2,8,3,6,20972,10174,20184,403682
"16",2016,1,4,4,5,5,5,5,10,20938,18237,20429,326866
