"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,2,4,4,4,7,4,4,82000,7000,46898,1078657
"2",2002,6,4,6,2,4,10,2,5,85700,12000,64302,1671863
"3",2003,5,2,5,4,7,16,1,3,80000,36207,59278,1304134
"4",2004,6,3,6,2,10,15,2,2,79000,38841,61562,1354364
"5",2005,4,4,5,2,3,15,1,2,78000,5778,58525,819356
"6",2006,3,3,3,2,6,12,1,5,79000,2000,36227,326045
"7",2007,3,4,5,2,4,9,2,4,82000,4500,51448,617379
"8",2008,4,4,4,2,6,14,2,4,79057,5420,51305,1180030
"9",2009,3,1,4,4,4,12,3,3,80000,5513,41780,919171
"10",2010,4,1,4,2,5,11,1,3,80018,9391,51202,1126458
"11",2011,3,1,4,3,5,7,2,4,80000,35000,53721,1181876
"12",2012,4,2,4,4,3,10,3,3,77023,20000,41200,906421
"13",2013,3,0,3,3,5,6,4,5,85000,31575,45692,1005234
"14",2014,2,1,3,4,2,4,5,5,79173,24396,36660,696557
"15",2015,5,2,5,4,3,12,2,5,77043,10229,36370,836511
"16",2016,1,3,3,3,3,6,4,5,77882,13892,38004,608070
