"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,1,3,4,6,9,2,6,21823,4398,15307,382690
"2",2002,4,1,4,5,5,12,4,10,22034,5436,13626,381534
"3",2003,4,3,4,5,3,6,4,8,18852,9473,12276,282352
"4",2004,3,1,3,3,3,7,3,8,21468,5013,12551,363994
"5",2005,4,1,4,3,4,5,4,7,17912,4501,11849,296231
"6",2006,2,3,4,3,3,7,3,21,15061,3853,11618,278852
"7",2007,3,2,3,5,3,6,3,7,16843,7317,12177,316619
"8",2008,5,2,5,3,4,9,2,5,80518,3760,14767,443024
"9",2009,2,3,3,5,3,3,4,9,21761,18397,20653,392423
"10",2010,1,2,4,4,3,7,4,6,20453,9442,14696,382113
"11",2011,3,4,4,4,3,4,4,6,17226,4069,12907,335584
"12",2012,3,1,3,4,2,4,2,6,21341,4119,12561,301468
"13",2013,3,4,4,2,8,14,1,5,19125,6405,13344,346969
"14",2014,1,0,1,4,2,4,4,12,21335,4979,17990,377810
"15",2015,4,5,5,3,6,18,1,6,20478,12430,16708,384305
"16",2016,3,1,3,4,2,3,3,8,21794,12257,19612,372643
