"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,2,0,2,4,2,8,3,4,47900,6000,21869,393650
"2",2002,2,1,3,3,2,12,4,5,51100,12400,25847,439400
"3",2003,2,4,4,4,2,3,6,8,51700,9950,24011,432200
"4",2004,3,3,3,4,3,4,2,4,39500,15150,23160,277924
"5",2005,5,1,5,5,1,4,5,6,18100,5000,10412,41649
"6",2006,4,1,4,4,5,9,2,5,50670,5580,24168,193350
"7",2007,3,1,3,4,4,17,4,10,30000,6900,18240,182402
"8",2008,3,3,3,4,4,6,3,8,48000,4300,23209,487390
"9",2009,3,1,3,4,2,5,4,9,45000,15000,26062,469130
"10",2010,4,1,4,4,3,6,4,5,39000,17000,27736,527000
"11",2011,4,0,4,5,3,4,4,5,36000,16627,26315,526315
"12",2012,0,4,4,4,3,6,4,6,30023,15923,21369,406012
"13",2013,2,3,3,3,2,5,3,8,32000,12650,21131,422636
"14",2014,2,2,3,4,4,5,3,5,34831,5118,18351,422081
"15",2015,2,2,2,6,2,3,4,10,27395,8642,18148,381120
"16",2016,1,2,3,3,3,11,2,5,30153,9143,18558,296942
