"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,3,5,5,4,11,2,5,28218,4356,14098,380663
"2",2002,1,1,3,6,3,8,8,17,26615,1330,14298,371759
"3",2003,3,3,3,3,3,7,3,6,20126,4607,13376,334423
"4",2004,1,0,2,3,3,7,6,7,23029,12785,16455,378470
"5",2005,2,4,4,3,3,5,4,9,20408,8834,14189,368915
"6",2006,5,4,5,3,5,8,2,8,23017,3573,14953,373832
"7",2007,1,2,3,3,5,7,2,6,26609,11147,17074,409795
"8",2008,1,1,2,5,2,4,4,11,27500,9141,25358,532521
"9",2009,1,1,3,7,2,11,3,6,27604,13957,25529,587173
"10",2010,4,5,5,3,3,5,5,5,27566,11995,24981,599567
"11",2011,3,2,3,5,3,8,4,5,27789,15023,25999,701983
"12",2012,3,0,3,4,3,9,3,7,27544,9147,25092,552045
"13",2013,3,NA,3,4,3,5,4,4,27429,16844,25684,539379
"14",2014,5,3,5,3,3,4,3,3,27602,10312,25482,560622
"15",2015,2,6,6,4,4,5,3,7,27833,24886,27371,602182
"16",2016,2,4,4,4,3,5,4,5,27815,10550,26060,443023
