"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,3,5,2,5,13,2,4,27179,14536,21143,592020
"2",2002,2,3,2,6,3,3,4,10,27129,19909,26389,527797
"3",2003,4,1,4,3,5,13,3,6,27195,10440,24064,625679
"4",2004,1,3,3,5,1,4,5,11,27751,22441,25809,516187
"5",2005,3,1,4,5,1,3,3,16,27623,10792,24412,512656
"6",2006,7,4,7,2,6,10,3,5,27415,10974,20452,572682
"7",2007,4,5,5,3,3,7,2,3,83584,10250,23473,633774
"8",2008,1,2,3,5,2,2,5,13,26344,18294,25127,527679
"9",2009,5,5,5,2,5,10,3,4,25297,10659,21205,551331
"10",2010,2,3,3,6,3,8,6,6,26196,10418,23969,479394
"11",2011,2,4,4,4,3,4,2,4,26358,12454,23859,501053
"12",2012,0,2,3,4,4,4,3,8,26438,11184,24485,514186
"13",2013,3,0,3,3,1,4,4,9,26613,8955,23590,518982
"14",2014,7,1,7,3,3,5,4,5,26768,10496,23225,534195
"15",2015,1,4,4,3,2,4,3,7,26313,13915,24061,529344
"16",2016,2,1,4,4,2,5,2,5,26308,21467,23661,378590
