"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,2,5,4,9,12,2,4,70227,64827,67269,1883535
"2",2002,6,4,6,3,8,12,2,3,67721,47848,66219,2185254
"3",2003,5,3,5,3,8,8,2,2,71350,59293,67335,1818057
"4",2004,4,2,4,3,7,14,1,2,67989,48891,66736,1868610
"5",2005,5,3,5,3,4,17,2,6,73006,43673,65315,1632893
"6",2006,6,4,6,3,6,14,2,3,76098,70608,75160,1728688
"7",2007,6,4,6,2,6,9,1,4,76013,69552,75301,2033130
"8",2008,5,2,5,3,11,16,2,2,88217,18500,72855,2477095
"9",2009,5,5,5,3,8,11,2,2,75316,51160,73159,1828975
"10",2010,6,3,6,4,7,24,2,2,75486,46083,73886,1921041
"11",2011,6,5,6,5,9,17,2,3,75627,52624,73375,1834390
"12",2012,4,0,4,1,6,18,2,2,75605,46358,73922,2069835
"13",2013,2,5,5,3,6,11,3,3,80235,73000,75148,1953853
"14",2014,7,1,7,4,6,11,3,3,75454,51014,74144,1631172
"15",2015,4,4,4,3,4,8,4,7,75415,56607,73490,2131237
"16",2016,3,3,4,4,9,15,3,4,85264,58179,73419,1908919
