"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,2,1,3,5,2,10,2,4,35000,6900,17816,285066
"2",2002,3,2,3,4,4,6,3,4,34544,7000,16390,262255
"3",2003,3,3,3,3,2,5,3,8,45000,9964,16868,286771
"4",2004,2,1,2,3,2,6,5,5,32500,6745,12244,232636
"5",2005,4,2,4,4,2,10,1,5,30000,4853,10440,156605
"6",2006,1,1,3,3,1,6,2,9,52530,695,12960,116647
"7",2008,1,3,3,3,2,4,6,12,32000,9000,16089,305700
"8",2009,3,1,3,2,4,5,4,7,28000,8000,13026,247500
"9",2010,3,2,3,3,2,4,3,7,29000,8000,12982,233684
"10",2011,3,0,3,4,3,4,3,5,12000,6000,9937,159000
"11",2012,4,2,4,4,3,3,5,5,18000,6000,9105,173000
"12",2013,3,2,3,3,4,6,6,10,16000,5000,10800,162000
"13",2014,1,2,2,3,2,5,4,7,26000,5000,11317,215024
"14",2015,4,2,4,4,3,6,3,7,25000,8000,11684,222000
"15",2016,4,2,4,3,2,4,5,5,26000,850,12115,193850
