"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,4,5,2,3,35,2,4,70000,35000,57992,1333819
"2",2002,3,1,3,3,4,10,3,8,75000,26000,53814,1237734
"3",2003,6,4,6,2,4,18,2,2,80000,3000,43249,908238
"4",2004,4,4,4,3,2,4,4,12,68000,33609,46346,880590
"5",2005,4,3,4,3,7,16,2,6,47700,8500,31248,624974
"6",2006,7,4,7,6,4,11,3,3,65000,5190,34393,343932
"7",2007,0,3,4,3,4,11,2,4,80023,15082,37826,529575
"8",2008,1,2,3,4,8,10,5,5,81000,20000,39599,910799
"9",2009,6,6,6,2,9,20,2,4,61898,7241,35182,985112
"10",2010,2,1,3,4,4,8,4,6,58083,20000,33986,747707
"11",2011,4,2,4,4,5,6,2,3,47302,13845,35949,611147
"12",2012,3,2,4,3,5,6,2,3,54981,12000,38945,739955
"13",2013,5,2,5,3,11,18,3,3,48000,25000,38990,545862
"14",2014,4,3,4,6,6,6,2,5,70544,33250,42187,928123
"15",2015,4,2,5,5,5,10,2,4,57836,7167,35695,856699
"16",2016,4,2,4,3,5,9,3,3,41841,13509,26663,559941
