"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",166,2004,209,340,2680,7,18,141,406,1422,41,14,208,2678,63,18,273,355,0.819672131147541,1.42857142857143
"2",166,2005,310,547,3192,22,17,107.9,347,941,42,8,310,3192,80,17,198,465,0,0
"3",166,2006,421,607,4792,12,34,150.2,323,910,35,16,414,4753,96,33,374,369,0.493827160493827,0.327868852459016
"4",166,2007,388,564,3950,19,28,137.3,343,1113,55,10,388,3950,82,27,312,471,0.43956043956044,0.140845070422535
"5",166,2008,330,492,3616,16,25,139.1,318,651,58,7,330,3616,84,25,266,409,0.32967032967033,0.140845070422535
"6",166,2009,133,269,1141,18,6,79.1,503,1840,70,10,133,1141,34,6,149,411,0.297029702970297,0.140845070422535
"7",166,2010,185,376,2009,9,9,97.2,449,1549,29,8,185,2009,58,9,188,474,0.198019801980198,0.140845070422535
"8",166,2011,249,451,3550,14,24,132.7,446,1625,78,16,249,3550,69,24,319,478,0.43956043956044,0.392156862745098
"9",166,2012,215,402,2853,11,19,123.2,389,1171,51,11,215,2853,84,19,224,473,0.0900900900900901,0
"10",166,2013,265,407,2886,13,18,132.9,444,1699,36,14,265,2886,85,18,251,535,0.198019801980198,0
"11",166,2014,278,452,2899,24,19,118.6,469,2152,80,19,278,2899,86,19,294,469,0.198019801980198,0.140845070422535
"12",166,2015,241,453,3034,14,26,122.2,443,2166,82,16,241,3034,78,26,343,540,0.32967032967033,0.588235294117647
"13",166,2016,253,459,2925,15,22,117.9,453,2051,51,13,253,2925,68,22,298,466,0.32967032967033,0.327868852459016
