"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,4,4,6,2,5,2,6,55000,27517,43731,743436
"2",2002,4,2,4,3,2,15,3,3,55506,34075,45627,775666
"3",2003,3,1,3,6,2,6,3,6,55500,26839,47353,805012
"4",2004,1,6,6,3,4,4,2,4,59016,36487,49492,841366
"5",2005,3,2,3,2,6,16,2,3,65800,37521,50502,1111056
"6",2006,4,1,4,3,4,7,3,13,46000,46000,46000,46000
"7",2007,7,5,7,2,7,14,2,6,57000,33586,49257,738858
"8",2008,1,2,3,3,6,7,2,3,57000,31537,52651,1263633
"9",2009,3,4,4,4,6,7,2,5,57000,25798,49886,1297046
"10",2010,4,4,4,6,3,3,2,5,57000,49462,54445,925579
"11",2011,1,1,2,5,1,8,4,6,57000,45473,53635,911810
"12",2012,1,3,3,7,2,4,4,4,57000,47127,52916,899574
"13",2013,4,5,5,5,1,5,8,8,57000,26248,51321,1077754
"14",2014,1,3,3,8,2,3,5,9,57000,45968,53625,1018893
"15",2015,1,3,3,5,2,3,3,5,57000,46136,53699,912899
"16",2016,3,4,4,8,3,4,5,8,57000,44445,51171,767578
