"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,3,4,4,3,8,4,10,12529,5226,9105,245856
"2",2002,4,4,4,3,2,3,3,6,22319,7061,12410,310258
"3",2003,5,4,5,2,6,15,3,6,23495,6656,16422,394131
"4",2004,5,2,5,4,9,9,3,8,24277,6079,16840,454695
"5",2005,2,3,3,3,2,4,4,5,23486,17051,19725,473402
"6",2006,3,1,4,4,2,4,3,8,25512,6075,17746,461415
"7",2007,5,3,5,4,4,7,2,4,24350,14822,18450,461271
"8",2008,1,3,3,5,4,6,5,11,24945,17239,23997,527942
"9",2009,2,0,2,5,2,3,5,9,25030,7994,23093,484958
"10",2010,2,4,4,4,2,8,3,7,24110,10433,20721,497319
"11",2011,1,3,3,3,4,9,5,6,22676,4826,17758,461723
"12",2012,3,1,3,3,4,7,3,3,23812,8585,16720,418001
"13",2013,6,4,6,3,3,4,4,6,71820,7151,25328,557235
"14",2014,1,2,2,3,2,4,4,10,24877,21275,23557,447584
"15",2015,6,2,6,4,6,12,3,6,70189,10430,18715,561460
"16",2016,2,2,2,5,3,7,4,10,24822,6608,19280,347052
