"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",87,2004,195,362,2617,10,17,124.6,460,1529,40,16,190,2579,54,17,289,289,0.983606557377049,NA
"2",87,2005,294,454,3963,8,32,157.8,491,1765,38,21,294,3963,80,32,440,294,2.90322580645161,NA
"3",87,2006,290,471,3433,7,37,145.8,423,1634,60,13,290,3433,62,37,403,310,3.2258064516129,NA
"4",87,2007,217,389,2004,9,12,104.6,437,903,45,11,217,2004,44,12,197,345,0.32967032967033,NA
"5",87,2008,271,447,3190,17,25,131.4,436,1426,35,11,271,3190,69,25,321,288,1.14754098360656,NA
"6",87,2009,301,447,3882,5,30,160.2,401,1539,37,13,301,3882,88,30,361,311,0.983606557377049,NA
"7",87,2010,285,481,3290,16,28,129.3,414,1646,39,11,285,3290,95,28,342,263,1.56862745098039,NA
"8",87,2011,302,473,3284,17,21,129.6,433,2085,79,25,302,3284,56,21,380,269,1.56862745098039,NA
"9",87,2012,226,388,2896,8,14,128.7,506,2462,68,23,226,2896,50,14,335,166,10.9090909090909,NA
"10",87,2013,226,429,3313,13,27,132.3,440,1963,80,12,226,3313,82,27,354,291,2.19512195121951,NA
"11",87,2014,277,463,3711,14,30,142.5,484,2073,61,24,277,3711,78,30,427,379,1.56862745098039,NA
"12",87,2015,241,385,3364,10,25,152.2,479,2699,98,29,241,3364,81,25,445,313,3.2258064516129,NA
"13",87,2016,224,388,3051,9,27,142.1,438,1960,74,18,224,3051,79,27,371,334,0.493827160493827,NA
