"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[417]",0.290974470454545,0.290648,0.291069793083355,11673,0.95,0.260351,0.321118,NA,NA,NA,NA,NA,NA,NA
"theta[418]",0.126849811845455,0.124623,0.117418335244084,10883,0.95,0.0601406,0.195249,NA,NA,NA,NA,NA,NA,NA
"theta[419]",0.240365091454545,0.240117,0.239862970247307,11000,0.95,0.199902,0.28483,NA,NA,NA,NA,NA,NA,NA
"theta[420]",0.243758514727273,0.24359,0.2465983890272,11000,0.95,0.207399,0.276066,NA,NA,NA,NA,NA,NA,NA
"theta[421]",0.218361506363636,0.218641,0.215885290868645,11000,0.95,0.168555,0.269092,NA,NA,NA,NA,NA,NA,NA
"theta[422]",0.267032710454545,0.2667775,0.266459019191726,11463.4,0.95,0.23561,0.297943,NA,NA,NA,NA,NA,NA,NA
"theta[423]",0.234014672909091,0.233747,0.231422457579818,10622.6,0.95,0.197068,0.272801,NA,NA,NA,NA,NA,NA,NA
"theta[424]",0.254524691181818,0.254172,0.254290245953849,11000,0.95,0.212942,0.300537,NA,NA,NA,NA,NA,NA,NA
"theta[425]",0.245689871090909,0.2455255,0.244948863701067,11317.5,0.95,0.203172,0.289791,NA,NA,NA,NA,NA,NA,NA
"theta[426]",0.256652352909091,0.2563905,0.2581536254234,11000,0.95,0.219863,0.29621,NA,NA,NA,NA,NA,NA,NA
"theta[427]",0.287668092272727,0.287322,0.287637071268151,11000,0.95,0.256038,0.320789,NA,NA,NA,NA,NA,NA,NA
"theta[428]",0.229600614636364,0.2295725,0.230310532696114,11000,0.95,0.183061,0.274953,NA,NA,NA,NA,NA,NA,NA
"theta[429]",0.166183491481818,0.1635645,0.158557327087437,8080.9,0.95,0.110638,0.230827,NA,NA,NA,NA,NA,NA,NA
"theta[430]",0.241727603181818,0.241583,0.244115841087142,10444.8,0.95,0.186757,0.294039,NA,NA,NA,NA,NA,NA,NA
"theta[431]",0.250772949363636,0.250179,0.247473386884764,11000,0.95,0.19515,0.305786,NA,NA,NA,NA,NA,NA,NA
"theta[432]",0.222521403909091,0.2223565,0.221937033518051,11000,0.95,0.179958,0.265944,NA,NA,NA,NA,NA,NA,NA
"theta[433]",0.263190184454545,0.262557,0.258362531093353,11084.6,0.95,0.222458,0.303525,NA,NA,NA,NA,NA,NA,NA
"theta[434]",0.288565721090909,0.288174,0.287094935394674,11000,0.95,0.254685,0.325048,NA,NA,NA,NA,NA,NA,NA
"theta[435]",0.129071032336364,0.126379,0.118765865994655,10673.3,0.95,0.060136,0.197288,NA,NA,NA,NA,NA,NA,NA
"theta[436]",0.247253581727273,0.247124,0.246669800946489,12357.7,0.95,0.216357,0.280112,NA,NA,NA,NA,NA,NA,NA
"theta[437]",0.298828412363636,0.298712,0.299654188175931,11000,0.95,0.269167,0.330211,NA,NA,NA,NA,NA,NA,NA
"theta[438]",0.123144706145455,0.1210545,0.115191003701066,10684.3,0.95,0.0593725,0.188858,NA,NA,NA,NA,NA,NA,NA
